participant_id,predicted_hr_mean,predicted_hr_std,predicted_hr_min,predicted_hr_max,predicted_hr_count,ground_truth_hr_mean,ground_truth_hr_std,ground_truth_hr_min,ground_truth_hr_max,absolute_error_mean,absolute_error_std,absolute_error_min,absolute_error_max,relative_error_mean,relative_error_std,relative_error_min,relative_error_max,snr_mean,snr_std,macc_mean,macc_std
subject1,110.7422,,110.7422,110.7422,1,109.8633,,109.8633,109.8633,0.8789,,0.8789,0.8789,0.8,,0.8,0.8,-5.2623,,0.4516,
subject10,49.2188,,49.2188,49.2188,1,119.5312,,119.5312,119.5312,70.3125,,70.3125,70.3125,58.8235,,58.8235,58.8235,-12.6074,,0.2308,
subject11,128.3203,,128.3203,128.3203,1,128.3203,,128.3203,128.3203,0.0,,0.0,0.0,0.0,,0.0,0.0,-5.2845,,0.7004,
subject12,67.6758,,67.6758,67.6758,1,69.4336,,69.4336,69.4336,1.7578,,1.7578,1.7578,2.5316,,2.5316,2.5316,3.1317,,0.7104,
subject13,109.8633,,109.8633,109.8633,1,109.8633,,109.8633,109.8633,0.0,,0.0,0.0,0.0,,0.0,0.0,-3.0566,,0.6252,
subject14,67.6758,,67.6758,67.6758,1,70.3125,,70.3125,70.3125,2.6367,,2.6367,2.6367,3.75,,3.75,3.75,-4.21,,0.2288,
subject15,112.5,,112.5,112.5,1,112.5,,112.5,112.5,0.0,,0.0,0.0,0.0,,0.0,0.0,-4.5929,,0.5687,
subject16,51.416,,51.416,51.416,1,94.4824,,94.4824,94.4824,43.0664,,43.0664,43.0664,45.5814,,45.5814,45.5814,-10.9288,,0.1501,
subject17,88.7695,,88.7695,88.7695,1,88.7695,,88.7695,88.7695,0.0,,0.0,0.0,0.0,,0.0,0.0,-5.9688,,0.4234,
subject18,124.8047,,124.8047,124.8047,1,124.8047,,124.8047,124.8047,0.0,,0.0,0.0,0.0,,0.0,0.0,-6.3842,,0.5252,
subject20,69.4336,,69.4336,69.4336,1,133.5938,,133.5938,133.5938,64.1602,,64.1602,64.1602,48.0263,,48.0263,48.0263,-13.9519,,0.2477,
subject22,94.043,,94.043,94.043,1,106.3477,,106.3477,106.3477,12.3047,,12.3047,12.3047,11.5702,,11.5702,11.5702,-5.9931,,0.5348,
subject23,61.5234,,61.5234,61.5234,1,69.4336,,69.4336,69.4336,7.9102,,7.9102,7.9102,11.3924,,11.3924,11.3924,-3.7783,,0.7986,
