participant_id,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
subject10,70.3125,0.0,70.3125,0.0,58.82352941176471,0.0,,,-12.607410730570551,0.0,1,49.21875,119.53125,0.0,0.0
subject11,0.0,0.0,0.0,0.0,0.0,0.0,,,-5.284519982163227,0.0,1,128.3203125,128.3203125,0.0,0.0
subject12,1.7578125,0.0,1.7578125,0.0,2.5316455696202533,0.0,,,3.1316925358200343,0.0,1,67.67578125,69.43359375,0.0,0.0
subject13,0.0,0.0,0.0,0.0,0.0,0.0,,,-3.0565677582389523,0.0,1,109.86328125,109.86328125,0.0,0.0
subject14,2.63671875,0.0,2.63671875,0.0,3.75,0.0,,,-4.209984250907832,0.0,1,67.67578125,70.3125,0.0,0.0
subject15,0.0,0.0,0.0,0.0,0.0,0.0,,,-4.592863138142089,0.0,1,112.5,112.5,0.0,0.0
subject16,43.06640625,0.0,43.06640625,0.0,45.58139534883721,0.0,,,-10.928752711879408,0.0,1,51.416015625,94.482421875,0.0,0.0
subject17,0.0,0.0,0.0,0.0,0.0,0.0,,,-5.968799500359703,0.0,1,88.76953125,88.76953125,0.0,0.0
subject18,0.0,0.0,0.0,0.0,0.0,0.0,,,-6.384165917939438,0.0,1,124.8046875,124.8046875,0.0,0.0
subject1,0.87890625,0.0,0.87890625,0.0,0.8,0.0,,,-5.262298961924876,0.0,1,110.7421875,109.86328125,0.0,0.0
subject20,64.16015625,0.0,64.16015625,0.0,48.026315789473685,0.0,,,-13.951913575553796,0.0,1,69.43359375,133.59375,0.0,0.0
subject22,12.3046875,0.0,12.3046875,0.0,11.570247933884298,0.0,,,-5.99310512471898,0.0,1,94.04296875,106.34765625,0.0,0.0
subject23,7.91015625,0.0,7.91015625,0.0,11.39240506329114,0.0,,,-3.778307464153797,0.0,1,61.5234375,69.43359375,0.0,0.0
subject24,33.3984375,0.0,33.3984375,0.0,34.862385321100916,0.0,,,-7.054961222504579,0.0,1,62.40234375,95.80078125,0.0,0.0
subject25,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.961257880578577,0.0,1,113.37890625,113.37890625,0.0,0.0
subject26,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.3747803211087914,0.0,1,100.1953125,100.1953125,0.0,0.0
subject27,57.12890625,0.0,57.12890625,0.0,51.181102362204726,0.0,,,-12.942668665037822,0.0,1,54.4921875,111.62109375,0.0,0.0
subject30,45.703125,0.0,45.703125,0.0,44.44444444444444,0.0,,,-9.02250729629536,0.0,1,57.12890625,102.83203125,0.0,0.0
subject31,0.0,0.0,0.0,0.0,0.0,0.0,,,6.926642509150275,0.0,1,77.34375,77.34375,0.0,0.0
subject32,65.0390625,0.0,65.0390625,0.0,55.639097744360896,0.0,,,-18.30603577870831,0.0,1,51.85546875,116.89453125,0.0,0.0
subject33,0.0,0.0,0.0,0.0,0.0,0.0,,,0.4146958405222916,0.0,1,113.37890625,113.37890625,0.0,0.0
subject34,2.63671875,0.0,2.63671875,0.0,2.2900763358778624,0.0,,,-1.0729288498729808,0.0,1,117.7734375,115.13671875,0.0,0.0
subject35,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.3943599344365825,0.0,1,116.455078125,116.455078125,0.0,0.0
subject36,42.1875,0.0,42.1875,0.0,34.65703971119133,0.0,,,-11.95355888266005,0.0,1,79.541015625,121.728515625,0.0,0.0
subject37,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.8330249400317629,0.0,1,55.37109375,55.37109375,0.0,0.0
subject38,0.439453125,0.0,0.439453125,0.0,0.39215686274509803,0.0,,,0.9445668428514044,0.0,1,111.62109375,112.060546875,0.0,0.0
subject39,0.0,0.0,0.0,0.0,0.0,0.0,,,0.6307288961363567,0.0,1,86.1328125,86.1328125,0.0,0.0
subject3,33.3984375,0.0,33.3984375,0.0,37.62376237623762,0.0,,,-7.166491088568928,0.0,1,55.37109375,88.76953125,0.0,0.0
subject40,0.0,0.0,0.0,0.0,0.0,0.0,,,5.456618964840945,0.0,1,87.890625,87.890625,0.0,0.0
subject41,36.03515625,0.0,36.03515625,0.0,35.96491228070175,0.0,,,-11.137858804659704,0.0,1,64.16015625,100.1953125,0.0,0.0
subject42,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.7387744981851935,0.0,1,98.4375,98.4375,0.0,0.0
