participant_id,predicted_hr_mean,predicted_hr_std,predicted_hr_min,predicted_hr_max,predicted_hr_count,ground_truth_hr_mean,ground_truth_hr_std,ground_truth_hr_min,ground_truth_hr_max,absolute_error_mean,absolute_error_std,absolute_error_min,absolute_error_max,relative_error_mean,relative_error_std,relative_error_min,relative_error_max,snr_mean,snr_std,macc_mean,macc_std
subject1,99.1406,16.75,70.3125,108.9844,5,106.1719,4.5838,98.4375,108.9844,7.0312,15.7224,0.0,35.1562,6.6667,14.9071,0.0,33.3333,-2.7209,2.8401,0.6389,0.0395
subject10,109.9888,11.0643,91.4062,123.0469,7,110.4911,10.1197,94.9219,123.0469,0.5022,1.3288,0.0,3.5156,0.5291,1.3999,0.0,3.7037,2.895,2.6603,0.8862,0.0356
subject11,123.5491,5.5322,116.0156,130.0781,7,123.5491,5.5322,116.0156,130.0781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1232,2.0831,0.7425,0.0886
subject12,69.308,2.6576,66.7969,73.8281,7,68.3036,1.8792,66.7969,70.3125,1.0045,1.7154,0.0,3.5156,1.4662,2.5051,0.0,5.2632,3.6995,4.0796,0.8412,0.1515
subject13,107.4777,7.278,94.9219,116.0156,7,107.4777,7.278,94.9219,116.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7532,2.9872,0.8567,0.0563
subject14,75.8371,6.9893,66.7969,84.375,7,77.3438,5.741,70.3125,84.375,1.5067,3.9863,0.0,10.5469,1.9481,5.1541,0.0,13.6364,-0.7182,3.9554,0.8167,0.0698
subject15,112.5,7.3184,98.4375,119.5312,7,114.5089,3.9863,108.9844,119.5312,2.0089,5.3151,0.0,14.0625,1.7857,4.7246,0.0,12.5,0.2845,2.4608,0.7836,0.022
subject16,93.4152,3.4309,87.8906,98.4375,7,93.4152,3.4309,87.8906,98.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6482,2.6199,0.9013,0.0676
subject17,85.8817,3.4309,80.8594,91.4062,7,85.8817,3.4309,80.8594,91.4062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7085,2.4445,0.8987,0.0308
subject18,120.5357,9.6737,101.9531,126.5625,7,121.0379,8.5772,105.4688,126.5625,0.5022,1.3288,0.0,3.5156,0.4762,1.2599,0.0,3.3333,2.1035,3.0139,0.857,0.0249
subject20,126.0603,9.6126,112.5,133.5938,7,126.0603,9.6126,112.5,133.5938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4876,1.742,0.8126,0.032
subject22,101.9531,8.119,87.8906,112.5,7,101.9531,8.119,87.8906,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7339,1.9337,0.842,0.0291
subject23,64.4531,3.6309,59.7656,70.3125,6,65.0391,4.3057,59.7656,70.3125,0.5859,1.4352,0.0,3.5156,0.8333,2.0412,0.0,5.0,4.1729,1.5391,0.8671,0.0709
subject24,103.4598,14.7569,87.8906,130.0781,7,105.4688,17.223,84.375,130.0781,4.0179,3.7584,0.0,7.0312,3.849,3.686,0.0,8.3333,-1.1603,3.2517,0.8333,0.047
subject25,115.3125,2.9414,112.5,119.5312,5,115.3125,2.9414,112.5,119.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9975,1.3497,0.8364,0.0637
subject26,99.1406,1.5722,98.4375,101.9531,5,99.1406,1.5722,98.4375,101.9531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2919,2.5922,0.6823,0.0398
subject27,86.4844,32.942,42.1875,119.5312,5,108.9844,9.3015,94.9219,119.5312,22.5,32.3743,0.0,70.3125,20.5,29.1762,0.0,62.5,-2.8986,5.8674,0.6481,0.1408
subject3,93.1641,5.3317,84.375,98.4375,6,96.0938,4.2576,91.4062,101.9531,2.9297,7.1762,0.0,17.5781,2.8736,7.0388,0.0,17.2414,0.618,4.8959,0.8757,0.0398
subject30,98.9397,7.438,84.375,105.4688,7,98.4375,7.5946,84.375,105.4688,0.5022,1.3288,0.0,3.5156,0.5291,1.3999,0.0,3.7037,2.8454,1.7118,0.8755,0.0535
subject31,78.3482,1.7154,77.3438,80.8594,7,78.3482,1.7154,77.3438,80.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9234,2.6025,0.9083,0.0261
subject32,105.4688,12.1785,87.8906,119.5312,7,104.9665,11.5586,87.8906,119.5312,0.5022,1.3288,0.0,3.5156,0.4329,1.1453,0.0,3.0303,1.5024,3.7219,0.8492,0.1689
subject33,116.0156,5.741,105.4688,123.0469,7,116.0156,5.741,105.4688,123.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2253,3.5632,0.913,0.0292
subject34,115.0112,2.6576,112.5,119.5312,7,115.0112,2.6576,112.5,119.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0461,2.1891,0.9079,0.0267
subject35,103.9621,13.5943,80.8594,119.5312,7,102.4554,15.2472,80.8594,119.5312,1.5067,3.9863,0.0,10.5469,1.7857,4.7246,0.0,12.5,3.4826,4.156,0.9323,0.0327
subject36,118.5268,8.0462,101.9531,126.5625,7,118.5268,8.0462,101.9531,126.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1857,2.5598,0.9104,0.0416
subject37,59.7656,6.0892,52.7344,70.3125,7,59.2634,5.1463,52.7344,66.7969,0.5022,1.3288,0.0,3.5156,0.7519,1.9893,0.0,5.2632,4.7791,4.4355,0.8723,0.043
subject38,110.4911,2.7661,105.4688,112.5,7,110.4911,2.7661,105.4688,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0542,3.5054,0.9117,0.038
subject39,84.8772,2.426,80.8594,87.8906,7,84.8772,2.426,80.8594,87.8906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5754,2.6593,0.8593,0.0268
subject4,103.3594,12.3298,84.375,116.0156,5,100.5469,12.3298,84.375,116.0156,2.8125,6.2889,0.0,14.0625,2.963,6.6254,0.0,14.8148,-1.3026,3.7603,0.8908,0.0337
subject40,85.8817,4.4733,77.3438,91.4062,7,85.8817,4.4733,77.3438,91.4062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1529,2.2177,0.9205,0.0403
subject41,92.4107,20.7704,45.7031,105.4688,7,100.9487,3.344,98.4375,105.4688,8.5379,22.5893,0.0,59.7656,8.0952,21.418,0.0,56.6667,-0.7304,4.196,0.7279,0.1132
subject42,94.9219,6.7319,80.8594,98.4375,7,94.9219,6.7319,80.8594,98.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1373,1.8208,0.9229,0.0267
subject43,98.9397,4.7292,91.4062,105.4688,7,98.9397,4.7292,91.4062,105.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2736,2.2197,0.816,0.0484
subject44,81.8638,5.2595,73.8281,87.8906,7,82.8683,3.9863,77.3438,87.8906,1.0045,2.6576,0.0,7.0312,1.2422,3.2866,0.0,8.6957,1.0976,2.7233,0.9112,0.0409
subject45,108.4821,6.8618,94.9219,116.0156,7,109.4866,7.9727,94.9219,119.5312,1.0045,1.7154,0.0,3.5156,0.8531,1.4571,0.0,3.0303,2.7861,3.0116,0.8906,0.0431
subject46,97.9353,5.5322,91.4062,105.4688,7,96.9308,4.4733,91.4062,101.9531,1.0045,2.6576,0.0,7.0312,1.0204,2.6997,0.0,7.1429,4.2645,4.1436,0.8712,0.0848
subject47,110.4911,6.9893,98.4375,119.5312,7,110.4911,6.9893,98.4375,119.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4139,1.822,0.9299,0.0211
subject48,82.6172,19.8563,42.1875,91.4062,6,90.2344,1.8155,87.8906,91.4062,7.6172,18.6582,0.0,45.7031,8.6667,21.2289,0.0,52.0,-2.3107,2.2147,0.6344,0.0732
