participant_id,predicted_hr_mean,predicted_hr_std,predicted_hr_min,predicted_hr_max,predicted_hr_count,ground_truth_hr_mean,ground_truth_hr_std,ground_truth_hr_min,ground_truth_hr_max,absolute_error_mean,absolute_error_std,absolute_error_min,absolute_error_max,relative_error_mean,relative_error_std,relative_error_min,relative_error_max,snr_mean,snr_std,macc_mean,macc_std
subject1,103.7109,9.8813,84.375,108.9844,6,103.125,10.1081,84.375,108.9844,0.5859,1.4352,0.0,3.5156,0.5952,1.458,0.0,3.5714,0.4604,1.5195,0.8157,0.0639
subject10,109.9888,10.6855,94.9219,123.0469,7,109.4866,11.011,94.9219,123.0469,0.5022,1.3288,0.0,3.5156,0.4926,1.3033,0.0,3.4483,0.6218,1.6735,0.8185,0.0443
subject11,125.0558,5.6895,116.0156,130.0781,7,124.5536,5.3151,116.0156,130.0781,0.5022,1.3288,0.0,3.5156,0.3968,1.0499,0.0,2.7778,3.0956,2.8428,0.828,0.0906
subject12,66.7969,4.9718,56.25,70.3125,7,68.3036,1.8792,66.7969,70.3125,2.5112,5.2595,0.0,14.0625,3.609,7.4892,0.0,20.0,1.2074,3.0931,0.7645,0.1117
subject13,109.4866,10.2354,94.9219,126.5625,7,109.4866,10.2354,94.9219,126.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5853,2.4169,0.8636,0.0772
subject14,71.317,4.4071,66.7969,77.3438,7,76.3393,6.3263,70.3125,84.375,5.0223,6.9893,0.0,17.5781,6.1147,8.4429,0.0,20.8333,-1.8794,3.2246,0.8194,0.0285
subject15,109.9888,13.1094,80.8594,119.5312,7,114.5089,3.9863,108.9844,119.5312,7.5335,14.2702,0.0,38.6719,6.4245,11.9729,0.0,32.3529,-3.8314,3.2517,0.5618,0.0867
subject16,93.4152,3.4309,87.8906,98.4375,7,93.4152,3.4309,87.8906,98.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1184,1.8293,0.8135,0.0563
subject17,85.8817,3.4309,80.8594,91.4062,7,85.8817,3.4309,80.8594,91.4062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9288,2.11,0.8449,0.1001
subject18,119.5312,8.3689,105.4688,126.5625,7,121.0379,8.5772,105.4688,126.5625,1.5067,3.9863,0.0,10.5469,1.1905,3.1497,0.0,8.3333,-1.1266,2.2402,0.7146,0.0718
subject20,126.0603,9.6126,112.5,133.5938,7,126.0603,9.6126,112.5,133.5938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8836,1.0148,0.6676,0.1138
