participant_id,predicted_hr_mean,predicted_hr_std,predicted_hr_min,predicted_hr_max,predicted_hr_count,ground_truth_hr_mean,ground_truth_hr_std,ground_truth_hr_min,ground_truth_hr_max,absolute_error_mean,absolute_error_std,absolute_error_min,absolute_error_max,relative_error_mean,relative_error_std,relative_error_min,relative_error_max,snr_mean,snr_std,macc_mean,macc_std
subject1,106.875,3.1445,101.9531,108.9844,5,106.1719,4.5838,98.4375,108.9844,0.7031,1.5722,0.0,3.5156,0.7143,1.5972,0.0,3.5714,-2.0863,2.5267,0.6708,0.0734
subject10,110.4911,10.1197,94.9219,123.0469,7,110.4911,10.1197,94.9219,123.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6127,2.0798,0.8798,0.0554
subject11,123.5491,5.5322,116.0156,130.0781,7,123.5491,5.5322,116.0156,130.0781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5199,2.1749,0.787,0.0876
subject12,66.7969,4.9718,56.25,70.3125,7,68.3036,1.8792,66.7969,70.3125,2.5112,5.2595,0.0,14.0625,3.609,7.4892,0.0,20.0,2.6044,3.7072,0.828,0.1579
subject13,107.4777,7.278,94.9219,116.0156,7,107.4777,7.278,94.9219,116.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6064,2.8994,0.9029,0.0406
subject14,75.8371,6.9893,66.7969,84.375,7,77.3438,5.741,70.3125,84.375,1.5067,3.9863,0.0,10.5469,1.9481,5.1541,0.0,13.6364,-2.4546,3.8988,0.7766,0.0701
subject15,114.5089,3.9863,108.9844,119.5312,7,114.5089,3.9863,108.9844,119.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6889,2.0253,0.7522,0.061
subject16,93.4152,3.4309,87.8906,98.4375,7,93.4152,3.4309,87.8906,98.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1693,3.3282,0.8996,0.075
subject17,85.8817,3.4309,80.8594,91.4062,7,85.8817,3.4309,80.8594,91.4062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8628,3.0816,0.8773,0.0941
subject18,121.0379,8.5772,105.4688,126.5625,7,121.0379,8.5772,105.4688,126.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6598,2.7714,0.8382,0.0452
subject20,126.0603,9.6126,112.5,133.5938,7,126.0603,9.6126,112.5,133.5938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6058,1.8485,0.8135,0.0477
subject22,101.9531,8.119,87.8906,112.5,7,101.9531,8.119,87.8906,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3255,3.3492,0.8667,0.0627
subject23,64.4531,3.6309,59.7656,70.3125,6,65.0391,4.3057,59.7656,70.3125,0.5859,1.4352,0.0,3.5156,0.8333,2.0412,0.0,5.0,4.0194,2.0079,0.8941,0.0504
subject24,106.4732,18.1222,84.375,130.0781,7,105.4688,17.223,84.375,130.0781,1.0045,2.6576,0.0,7.0312,0.8658,2.2907,0.0,6.0606,-1.1371,3.3355,0.8612,0.0517
subject25,115.3125,2.9414,112.5,119.5312,5,115.3125,2.9414,112.5,119.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8312,1.7035,0.8187,0.1033
