participant_id,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
subject10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6126595198657536,0.7277926117656455,7,110.49107142857143,110.49107142857143,9.369019138147248,9.369019138147248
subject11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5198734640916955,0.7610704097731875,7,123.54910714285714,123.54910714285714,5.121782993564181,5.121782993564181
subject12,2.5111607142857144,1.8404304535303875,5.478705861145169,5.092408694262718,3.6090225563909777,2.620661718653417,-0.2204792759220492,0.4362084109434134,2.604402075593883,1.2972618822997937,7,66.796875,68.30357142857143,4.603033622165464,1.7397831772455241
subject13,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,6.664001874625056e-09,1.6064316564322938,1.0145711265160493,7,107.47767857142857,107.47767857142857,6.738151271483741,6.738151271483741
subject14,1.5066964285714286,1.3949298378269468,3.9863440512691937,3.83564214093691,1.948051948051948,1.8035456489075674,0.8214005083884006,0.25506909056931104,-2.4546375720344473,1.364289775963599,7,75.83705357142857,77.34375,6.470808512306146,5.315125401692258
subject15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6889240729271933,0.7087192107555556,7,114.50892857142857,114.50892857142857,3.6906374472737613,3.6906374472737613
subject16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1692867785586434,1.1646399613937946,7,93.41517857142857,93.41517857142857,3.176394971151274,3.176394971151274
subject17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.862750093996259,1.0783244937706435,7,85.88169642857143,85.88169642857143,3.1763949711512742,3.1763949711512742
subject18,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,9.424321830774484e-09,1.659799239441759,0.9697996280282423,7,121.03794642857143,121.03794642857143,7.940987427878185,7.940987427878185
subject1,0.703125,0.6288941186718158,1.5722352966795397,1.4869283392132933,0.7142857142857143,0.6388765649999398,0.9861168645694256,0.0958706236059221,-2.086250277097342,1.0106839283582376,5,106.875,106.171875,2.8125,4.099888051063102
subject20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6058118796553575,0.6468564721673703,7,126.06026785714286,126.06026785714286,8.899576245537062,8.899576245537062
subject22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3255077100476897,1.1719810100140875,7,101.953125,101.953125,7.516722428786935,7.516722428786935
